    PID RUSER    USER     CMD
    930 root     root     /usr/libexec/upowerd
    931 root     root     /usr/bin/VGAuthService -s
    938 root     root     /usr/bin/vmtoolsd
    942 root     root     /usr/sbin/abrtd -d -s
    945 root     root     [psimon]
    952 root     root     /usr/libexec/accounts-daemon
    956 root     root     /usr/lib/systemd/systemd-logind
    957 avahi    avahi    avahi-daemon: chroot helper
   1031 root     root     /usr/bin/ModemManager
   1045 root     root     /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
   1051 root     root     /usr/bin/abrt-dump-journal-core -D -T -f -e
   1055 root     root     /usr/bin/abrt-dump-journal-oops -fxtD
   1058 root     root     /usr/bin/abrt-dump-journal-xorg -fxtD
   1085 root     root     [kworker/R-rpciod]
   1086 root     root     [kworker/R-xprtiod]
   1089 root     root     /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
   1130 root     root     /usr/bin/NetworkManager --no-daemon
   1140 root     root     /usr/bin/gssproxy -i
   1141 root     root     /usr/bin/python3 -Es /usr/sbin/tuned -l -P
   1171 root     root     /usr/sbin/atd -f
   1174 root     root     /usr/sbin/crond -n
   1176 root     root     /usr/bin/gdm
   1214 root     root     [gdm-session-wor] <defunct>
   1220 root     root     /usr/libexec/uresourced
   1223 root     root     [psimon]
   1644 root     root     /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
   1904 root     root     /usr/sbin/rsyslogd -n
   2056 colord   colord   /usr/libexec/colord
   2235 pcscd    pcscd    /usr/bin/pcscd --foreground --auto-exit
   2304 root     root     /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
   2630 root     root     gdm-session-worker [pam/gdm-password]
   2640 daniil   daniil   /usr/lib/systemd/systemd --user
   2642 daniil   daniil   (sd-pam)
   2659 daniil   daniil   /usr/bin/gnome-keyring-daemon --daemonize --login
